234,234,Apache 207,male,22,person,DE,n/a,n/a,Ludwigshafen,n/a,,
235,235,Michael Bublé,male,44,person,CA,n/a,n/a,Burnaby,n/a,,
236,236,Desiigner,male,23,person,US,n/a,n/a,n/a,Brooklyn,,
237,237,Arizona Zervas,male,25,person,US,n/a,n/a,Hagerstown,n/a,,
238,238,George Ezra,male,27,person,GB,n/a,n/a,Bristol,n/a,,
239,239,blackbear,male,29,person,US,n/a,n/a,Daytona Beach,n/a,,
240,240,Alok,male,28,person,BR,n/a,n/a,Goiânia,n/a,,
241,241,Lorde,female,23,person,NZ,n/a,n/a,n/a,n/a,,
242,242,PARTYNEXTDOOR,male,27,person,CA,n/a,n/a,Mississauga,n/a,,
243,243,Christian Nodal,male,21,person,MX,n/a,n/a,n/a,n/a,,
244,244,Nio Garcia,male,0,person,PR,n/a,n/a,,,,
245,245,Snow,male,51,person,CA,n/a,n/a,n/a,North York,,
246,246,Iggy Azalea,female,30,person,US,n/a,n/a,Sydney,n/a,,
247,247,Jhay Cortez,male,0,person,PR,n/a,n/a,Las Piedras,n/a,,
248,248,Skrillex,male,32,person,US,n/a,n/a,Los Angeles,n/a,,
249,249,Mabel,female,24,person,,London,n/a,Málaga,n/a,,
250,250,Axwell /\ Ingrosso,mixed,6,group,SE,n/a,n/a,,,,
251,251,OMI,male,33,person,JM,n/a,n/a,n/a,n/a,,
252,252,Niall Horan,male,26,person,IE,n/a,n/a,Mullingar,n/a,,
253,253,Niska,male,26,person,FR,n/a,n/a,Villeneuve-Saint-Georges,n/a,,
254,254,Jax Jones,male,33,person,GB,n/a,n/a,London,n/a,,
255,255,Nacho,male,36,person,VE,n/a,n/a,n/a,n/a,,
256,256,Casper Magico,male,0,person,PR,n/a,n/a,,,,
257,257,Rich The Kid,male,28,person,US,n/a,n/a,n/a,n/a,,
258,258,Dynoro,male,0,person,,Vilnius,n/a,,,,
259,259,Gzuz,male,32,person,,Hamburg,n/a,Hamburg,n/a,,
260,260,Macklemore & Ryan Lewis,mixed,11,group,,Seattle,n/a,Seattle,n/a,,
261,261,De La Ghetto,male,35,person,PR,n/a,n/a,,,,
262,262,Duki,male,24,person,,Buenos Aires,n/a,Buenos Aires,n/a,,
263,263,Frenna,male,28,person,NL,n/a,n/a,The Hague,n/a,,
264,264,DNCE,mixed,5,group,US,n/a,n/a,San Francisco,n/a,,
265,265,Stormzy,male,27,person,GB,n/a,n/a,n/a,Thornton Heath,,
266,266,Capo Plaza,male,22,person,IT,n/a,n/a,n/a,n/a,,
267,267,Summer Cem,male,37,person,TR,n/a,n/a,,,,
268,268,Kehlani,female,25,person,US,n/a,n/a,Oakland,n/a,,
269,269,Lil' Kleine,male,25,person,NL,n/a,n/a,Amsterdam,n/a,,
270,270,Gente De Zona,mixed,20,group,CU,n/a,n/a,La Habana,n/a,,
271,271,SAINt JHN,male,0,person,US,n/a,n/a,n/a,Brooklyn,,
272,272,Gigi D'Agostino,male,52,person,IT,n/a,n/a,Turin,n/a,,
273,273,Charli XCX,female,27,person,GB,n/a,n/a,Cambridge,n/a,,
274,274,Trevor Daniel,male,25,person,US,n/a,n/a,Los Angeles,n/a,,
275,275,Lil Skies,male,21,person,US,n/a,n/a,n/a,n/a,,
276,276,Imanbek,male,19,person,,,,n/a,n/a,,
277,277,YoungBoy Never Broke Again,male,20,person,,Baton Rouge,n/a,Baton Rouge,n/a,,
278,278,The Black Eyed Peas,mixed,25,group,US,n/a,n/a,Los Angeles,n/a,,
279,279,Boef,male,27,person,NL,n/a,n/a,Aubervilliers,n/a,,
280,280,YG,male,30,person,US,n/a,n/a,Compton,n/a,,
281,281,Lalo Ebratt,male,27,person,CO,n/a,n/a,Santa Marta,n/a,,
282,282,NAV,male,30,person,,Toronto,n/a,Toronto,n/a,,
283,283,Carlos Vives,male,59,person,CO,n/a,n/a,,,,
284,284,Rick Ross,male,44,person,,Miami,n/a,Clarksdale,n/a,,
285,285,Damso,male,28,person,BE,n/a,n/a,Kinshasa,n/a,,
286,286,Chencho Corleone,male,41,person,PR,n/a,n/a,Bayamón,n/a,,
287,287,Luciano,male,55,person,JM,n/a,n/a,n/a,n/a,,
288,288,MC Kevin o Chris,male,22,person,BR,n/a,n/a,Duque de Caxias,n/a,,
289,289,Jowell & Randy,mixed,0,group,PR,n/a,n/a,,,,
290,290,Hozier,male,30,person,IE,n/a,n/a,Bray,n/a,,
291,291,Ronnie Flex,male,28,person,NL,n/a,n/a,Capelle aan den IJssel,n/a,,
292,292,Salmo,male,36,person,IT,n/a,n/a,n/a,n/a,,
293,293,JP Cooper,male,38,person,GB,n/a,n/a,Middleton,n/a,,
294,294,Juicy J,male,45,person,US,n/a,n/a,Memphis,n/a,,
295,295,X Ambassadors,mixed,11,group,US,n/a,n/a,n/a,Brooklyn,,
296,296,tha Supreme,male,0,person,IT,n/a,n/a,,,,
297,297,Kris Kross Amsterdam,mixed,0,group,NL,n/a,n/a,,,,
298,298,Banda Sinaloense MS de Sergio Lizárraga,mixed,17,group,,n/a,n/a,Mazatlan,n/a,,
299,299,NF,male,29,person,US,n/a,n/a,Gladwin,n/a,,
300,300,Cosculluela,male,39,person,PR,n/a,n/a,Humacao,n/a,,
301,301,Lost Frequencies,male,26,person,BE,n/a,n/a,Brussels,n/a,,
302,302,Sandro Cavazza,male,0,person,SE,n/a,n/a,,,,
303,303,Mariah Carey,female,50,person,US,n/a,n/a,n/a,n/a,,
304,304,Fuse ODG,male,30,person,GB,n/a,n/a,,,,
305,305,Luan Santana,male,29,person,BR,n/a,n/a,Campo Grande,n/a,,
306,306,Playboi Carti,male,23,person,US,n/a,n/a,Atlanta,n/a,,
307,307,RAYE,female,22,person,GB,n/a,n/a,n/a,Tooting,,
308,308,Matoma,male,29,person,NO,n/a,n/a,n/a,n/a,,
309,309,Ali Gatie,male,23,person,CA,n/a,n/a,,,,
310,310,Ezhel,male,0,person,,n/a,n/a,,,,
311,311,Nyla,female,36,person,,,,n/a,n/a,,
312,312,Becky Hill,female,26,person,GB,n/a,n/a,Bewdley,n/a,,
313,313,Nengo Flow,male,38,person,PR,n/a,n/a,Las Piedras,n/a,,
314,314,Nimo,male,24,person,DE,n/a,n/a,Karlsruhe,n/a,,
315,315,P!nk,female,40,person,US,n/a,n/a,Doylestown,n/a,,
316,316,BlocBoy JB,male,24,person,US,n/a,n/a,Memphis,n/a,,
317,317,Jeremih,male,33,person,US,n/a,n/a,Chicago,n/a,,
318,318,bbno$,male,25,person,CA,n/a,n/a,Vancouver,n/a,,
319,319,Luke Combs,male,30,person,US,n/a,n/a,Charlotte,n/a,,
320,320,Y2K,,0,,,,,,,,
321,321,NLE Choppa,male,17,person,US,n/a,n/a,Memphis,n/a,,
322,322,KYLE,male,0,person,US,n/a,n/a,,,,
323,323,PNL,mixed,5,group,FR,n/a,n/a,Corbeil-Essonnes,n/a,,
324,324,Disclosure,mixed,10,group,GB,n/a,n/a,Reigate,n/a,,
325,325,Rag'n'Bone Man,male,35,person,,London,n/a,Uckfield,n/a,,
326,326,Vance Joy,male,32,person,AU,n/a,n/a,Melbourne,n/a,,
327,327,Jessie Reyez,female,29,person,CA,n/a,n/a,Toronto,n/a,,
328,328,Sigala,male,26,person,GB,n/a,n/a,Norwich,n/a,,
329,329,Regard,male,0,person,,New York,n/a,,,,
330,330,Jul,male,30,person,FR,n/a,n/a,Marseille,n/a,,
331,331,Loud Luxury,mixed,0,group,CA,n/a,n/a,,,,
332,332,Booba,male,43,person,FR,n/a,n/a,Boulogne-Billancourt,n/a,,
